id,pno,sku_id,item_sku_key,ad_channel,ad_report_mark,mark_type,mark_type_desc,mark_time,deleted,create_time,update_time,operator_name,operator_user_id
67,MTT022423163N,null,MTT022423163N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
68,MTT022366890N,null,MTT022366890N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
69,MSU022636809N,null,MSU022636809N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
70,MSU022201188N,null,MSU022201188N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
71,MSU020765459N,null,MSU020765459N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
72,MJA024195802N,null,MJA024195802N,facebook,bad-with-trans:top,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
73,MJA021437206N,null,MJA021437206N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
74,MFD022564107N,null,MFD022564107N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
75,MET023281851N,null,MET023281851N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
76,MEB022813368N,null,MEB022813368N,facebook,bad-with-trans:top,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
77,MDW024019911N,null,MDW024019911N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
78,MDJ022258189N,null,MDJ022258189N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
79,LLI021786078N,null,LLI021786078N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
80,HLR022517369N,null,HLR022517369N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
81,HFH021850342N,null,HFH021850342N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
82,HET022457774N,null,HET022457774N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
83,HCA022835742N,null,HCA022835742N,facebook,bad-low-site-usage,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
84,HAV021797568N,null,HAV021797568N,facebook,bad-low-site-usage,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
85,HAP022740918N,null,HAP022740918N,facebook,bad-with-trans:top,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
86,HAP022302426N,null,HAP022302426N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
87,ESO021540291N,null,ESO021540291N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
88,ESD021264770N,null,ESD021264770N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
89,EMP023620305N,null,EMP023620305N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
90,EMP022269476N,null,EMP022269476N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
91,EMP022188145N,null,EMP022188145N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
92,EMP021916920N,null,EMP021916920N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
93,EMP021612796N,null,EMP021612796N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
94,EDP018788018N,null,EDP018788018N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
95,EDA022701514N,null,EDA022701514N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
96,EDA022531414N,null,EDA022531414N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
97,EDA022528004N,null,EDA022528004N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
98,EDA022503093N,null,EDA022503093N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
99,EDA019439869N,null,EDA019439869N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
100,EDA016766208N,null,EDA016766208N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
101,DTA022238532N,null,DTA022238532N,facebook,bad-low-site-usage,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
