id,pno,sku_id,item_sku_key,ad_channel,merchant_business_id,catalog_feed_id,catalog_feed_name,handle_status,handle_status_desc,deleted,create_time,update_time,operator_name,operator_user_id
47,SWS021965554N,null,SWS021965554N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
48,WWC022127191N,null,WWC022127191N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:57:53,2022-10-10 05:57:53,null,null
149,PFD022099345N,null,PFD022099345N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
150,PFD021961218N,null,PFD021961218N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
151,XXX021665760N,null,XXX021665760N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
153,WDR017833401N,null,WDR017833401N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
154,XXX022854922N,null,XXX022854922N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
157,PSP021425344N,null,PSP021425344N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
158,SBA022749914N,null,SBA022749914N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
159,TER022849147N,null,TER022849147N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
160,TDO022787495N,null,TDO022787495N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
161,SYF022114928N,null,SYF022114928N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
162,XXX021670925N,null,XXX021670925N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
164,SWS021072575N,null,SWS021072575N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
165,SSR023600340N,null,SSR023600340N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
167,TIT023268406N,null,TIT023268406N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
169,XXX022606603N,null,XXX022606603N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
